="Auftrag"	=""	="Datum"	="Kunde"	="Name"	="Ort"	="Restwert"	="Art"	="Typ"	="Kompl. Grp"	="Kommentar"	="VV-Nr."	="Lieferdatum"	="GS Bereich"	="Projekt"	="Lieferadresse"	="Lieferort"	="Gesamtwert"	="Sperre manuell"	="Verantwortlich"	="Frei 1"	="Frei 2"	="Bemerkung"	="Projekt Nr."	="Projektname"	="man.Status"	="K Sperre"	="Mat"	="Kom. Endkunde"	="1. Bearbeiter, intern"	="2. Bearbeiter, intern"	="Kommentar zu Freigabe 1"	="Status"	="Wunschdatum"	="Tech Prüf"	="Kauf Prüf"	="Kommentar zu Freigabe 2"	="Eintreffdatum"
1024680	="isign_warning"	08.01.2026	12040	="ZIM Aircraft Seating GmbH"	="Immenstaad am Bodensee"	2.230,43	="STD"	=""		=""		20.03.2026	1	="B203457 / FAI wird benötigt!!!"	="ZIM Aircraft Seating GmbH"	="Markdorf"	2.230,43	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	27.03.2026	N	N	=""	27.03.2026
1024682	="isign_warning"	12.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.945,41	="STD"	=""		=""		23.01.2026	1	="4501117326/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.945,41	N	="ZETTLER"	N	N	=""	1024682	="4501117326/A350"		0	0	=""	=""	=""	=""	0	04.12.2025	N	N	=""	30.01.2026
1024683	="isign_warning"	13.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		23.01.2026	1	="4501117342/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024683	="4501117342/A350"		0	0	=""	=""	=""	=""	0	24.11.2026	N	N	=""	30.01.2026
1024685	="isign_warning"	13.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.550,66	="STD"	=""		=""		23.01.2026	1	="4501117372/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.550,66	N	="ZETTLER"	N	N	=""	1024685	="4501117372/A350"		0	0	=""	=""	=""	=""	0	27.11.2026	N	N	=""	30.01.2026
1024687	="isign_warning"	14.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.582,72	="STD"	=""		=""		13.02.2026	1	="4501117677/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.582,72	N	="ZETTLER"	N	N	=""	1024687	="4501117677/A380"		0	0	=""	=""	=""	=""	0	27.11.2026	N	N	=""	20.02.2026
1024689	="isign_warning"	17.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	833,86	="STD"	=""		=""		23.01.2026	1	="4501117920/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	833,86	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	29.01.2026	N	N	=""	30.01.2026
1024692	="isign_warning"	12.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		06.02.2026	1	="4501118564/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024692	="4501118564/A350"		0	0	=""	=""	=""	=""	0	27.11.2025	N	N	=""	13.02.2026
1024696	="isign_warning"	13.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	11.445,30	="STD"	=""		=""		19.03.2026	1	="4501126586/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	11.445,30	N	="ZETTLER"	N	N	=""	1024696	="4501126586/Lit Pocket"		0	0	=""	=""	=""	=""	0	26.03.2026	N	N	=""	26.03.2026
1024700	="isign_warning"	13.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	14.341,67	="STD"	=""		=""		09.04.2026	1	="4501123876/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	14.341,67	N	="ZETTLER"	N	N	=""	1024700	="4501123876/Lit Pocket"		0	0	=""	=""	=""	=""	0	16.04.2026	N	N	=""	16.04.2026
1024707	="isign_warning"	21.01.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	8.586,00	="STD"	=""		=""		27.02.2026	1	="16056489"	=""	=""	8.586,00	N	="ZETTLER"	N	N	=""	1024707	="16056489"		0	0	=""	=""	=""	=""	0	06.03.2026	N	N	=""	06.03.2026
